钉钉,DingTalk
"主题: %{topic}","Theme: %{topic}"
钉钉渠道测试,"DingTalk Channel Test"
这是一条测试消息，如果您收到此消息，说明钉钉渠道配置正确。,"This is a test message. If you receive this message, the DingTalk channel configuration is correct."
"Webhook URL","Webhook URL"
签名密钥,"Signing Key"
"加签密钥（SEC 开头）","Signing key (starts with SEC)"
邮件,Mail
邮件渠道测试,"Email channel test"
这是一条测试消息，如果您收到此邮件，说明邮件渠道配置正确。,"This is a test message. If you receive this email, the email channel configuration is correct."
收件邮箱,"Recipient Email"
发件人（可选）,"Sender (optional)"
使用默认,"Use default"
飞书,Feishu
飞书渠道测试,"Feishu Channel Test"
这是一条测试消息，如果您收到此消息，说明飞书渠道配置正确。,"This is a test message. If you receive this message, the Feishu channel configuration is correct."
签名密钥（可选）,"Signing Key (Optional)"
Telegram,Telegram
"Telegram 渠道测试","Telegram channel test"
"这是一条测试消息，如果您收到了它，说明 Telegram 渠道配置是可用的。","This is a test message. If you receive it, the Telegram channel configuration is available."
"Bot Token（建议填在渠道配置）","Bot Token (it is recommended to fill in the channel configuration)"
"Chat ID（建议填在联系人配置）","Chat ID (it is recommended to fill in the contact configuration)"
消息格式,"Message format"
"默认 HTML","Default HTML"
关闭链接预览,"Close link preview"
默认否,"Default No"
否,No
是,Yes
Webhook,Webhook
"Webhook 渠道测试","Webhook channel test"
"这是一条测试消息，如果您的服务收到此请求，说明 Webhook 渠道配置正确。","This is a test message. If your service receives this request, the Webhook channel configuration is correct."
"用于生成 X-Signature 头","Used to generate the X-Signature header"
自定义请求头（可选）,"Custom Request Headers (Optional)"
跳过格式不正确的菜单配置文件：%{1},"Skipped malformed menu configuration file: %{1}"
"菜单配置错误：menu元素缺少source属性,文件：%{1}","Menu configuration error: menu element missing source attribute, file: %{1}"
"菜单配置错误：menu元素缺少name属性,文件：%{1}","Menu configuration error: menu element missing name attribute, file: %{1}"
"菜单配置错误：menu元素缺少title属性,文件：%{1}","Menu configuration error: menu element missing title attribute, file: %{1}"
"菜单配置错误：menu元素缺少order属性,文件：%{1}","Menu configuration error: menu element missing order attribute, file: %{1}"
刷新模块列表...,"Refresh Module List..."
"已刷新：%{1} 个激活模块","Refreshed: %{1} active module(s)"
模块刷新失败：%{1},"Module refresh failed: %{1}"
"开始收集模块 %{1} 的菜单...","Start collecting menus for module %{1}"
开始收集菜单...,"Start collecting menus..."
"未从 menu.xml 解析到任何菜单。","No menus parsed from menu.xml."
"发现 %{1} 个配置文件但解析失败，请检查 XML 格式。","Found %{1} configuration files but parsing failed, please check the XML format."
"菜单收集完成！共解析 %{1} 条菜单（来自 %{2} 个 menu.xml 文件）","Menu collection complete! Parsed %{1} menus (from %{2} menu.xml files)"
"新增 %{1} 条菜单：","Add %{1} Menu Items:"
"更新 %{1} 条菜单：","Updated %{1} menu items:"
"删除 %{1} 条菜单（模块已移除）：","Deleted %{1} menu(s) (module removed):"
"禁用 %{1} 条菜单（模块已禁用）：","Disable %{1} menu items (module disabled):"
菜单无变化。,"No changes to menu."
清理事件缓存...,"Clearing Event Cache..."
事件缓存清理失败：%{1},"Event cache cleanup failed: %{1}"
编译插件/DI...,"Compile plugin/DI..."
DI编译失败：%{1},"DI compilation failed: %{1}"
清理全部缓存...,"Clearing All Cache..."
全部缓存清理完成！,"All Cache Cleared!"
缓存清理失败：%{1},"Cache Cleanup Failed: %{1}"
清理模板缓存...,"Cleaning template cache..."
模板缓存清理完成！,"Template cache cleanup complete!"
模板缓存清理失败：%{1},"Template cache cleanup failed: %{1}"
清理菜单相关缓存...,"Cleaning menu-related cache..."
菜单相关缓存已清理！,"Menu-related cache has been cleared!"
菜单缓存清理失败：%{1},"Menu cache clearing failed: %{1}"
菜单收集和系统更新完成！菜单已生效。,"Menu collection and system update complete! Menu is now active."
"对比后端用户/角色数据与 getAclContext 结果，排查没角色或没权限。","Compare backend user/role data with getAclContext results to troubleshoot missing roles or permissions."
"指定用户ID，不传则查 1 和 3","Specify user ID; if not provided, query 1 and 3"
"请指定 --username=、--user_id= 或 --email= 之一","Please specify one of --username=, --user_id=, or --email="
"请指定 --role_id= 或 --role= 选择要分配的角色","Specify --role_id= or --role= to select role"
用户不存在,"User does not exist"
已为用户分配角色,"Role assigned to user"
该用户已拥有该角色,"User already has this role"
分配失败,"Assignment failed"
"角色 ID %{id} 不存在","Role ID %{id} does not exist"
角色名「%{name}」不存在,"Role name ""%{name}"" does not exist"
暂无可用角色，请先在后台创建角色,"No roles available. Create roles in backend first."
可用角色：,"Available roles:"
为指定后台用户分配所选角色。,"Assign selected role to backend user."
用户名,Username
用户ID,"User ID"
邮箱,Email
角色ID,"Role ID"
角色名,"Role Name"
显示帮助信息,"Show help information"
分配超管,"Assign super admin"
分配其他角色,"Assign other roles"
已为用户分配超管角色,"Assigned super admin role"
该用户已是超管角色,"This user is already a super admin"
为指定后台用户分配超管角色。,"Assign super management roles to specified backend users."
用户名不能为空,"Username cannot be empty"
邮箱不能为空,"Email cannot be empty"
密码不能为空,"Password cannot be empty"
用户已存在,"User already exists"
用户创建失败,"User creation failed"
用户创建成功,"User created successfully"
用户创建失败：%s,用户创建失败：%s
用户邮箱不能为空,"User email cannot be empty"
用户密码不能为空,"User password cannot be empty"
重置成功,"Reset Successful"
加载访问日志失败：%{1},"Failed to load access logs: %{1}"
用户名和密码不能为空,"Username and password cannot be empty"
用户已被禁用,"User has been disabled"
密码错误,"Incorrect Password"
创建token失败,"Failed to create token"
登录成功,"Login successful"
登录失败：%{1},"Login failed: %{1}"
Token不能为空,"Token cannot be empty"
Token无效或已过期,"Token is invalid or expired"
Token刷新成功,"Token refreshed successfully"
刷新token失败：%{1},"Failed to refresh token: %{1}"
撤销token失败,"Failed to revoke token"
Token已撤销,"Token has been revoked"
撤销token失败：%{1},"Failed to revoke token: %{1}"
用户未登录,"User not logged in"
获取用户信息成功,"Successfully got user info"
获取用户信息失败：%{1},"Failed to get user info: %{1}"
Token无效,"Token is invalid"
获取token信息成功,"Successfully got token information"
获取token信息失败：%{1},"Failed to get token information: %{1}"
消息主题不能为空,"Message subject cannot be empty"
消息标题不能为空,"Message title cannot be empty"
消息内容不能为空,"Message content cannot be empty"
通知已发送,"Notification sent"
发送通知失败：%{error},"Failed to send notification: %{error}"
信息,Information
成功,Success
警告,Warning
错误,Error
紧急,Urgent
参数错误,"Parameter error"
已标记为已读,"Marked as read"
标记失败,"Mark failed"
操作失败,"Operation failed"
未登录,"Not logged in"
已标记全部已读,"Marked all as read"
"外观与 Logo","Appearance & Logo"
加载配置失败：%{1},"Failed to load configuration: %{1}"
保存失败：%{1},"Save failed: %{1}"
默认联系人,"Default Contact"
联系人,Contact
无效的请求方法,"Invalid request method"
联系人名称不能为空,"Contact name cannot be empty"
联系人不存在,"Contact does not exist"
更新成功,"Update successful"
创建成功,"Created successfully"
保存失败,"Save Failed"
联系人和渠道不能为空,"Contact and channel cannot be empty"
保存成功,"Saved successfully"
已移除,Removed
删除成功,"Deletion successful"
删除失败,"Deletion failed"
通知中心,"Notification Center"
通知不存在或无权查看,"Notification does not exist or you do not have permission to view it."
通知详情,"Notification Details"
请指定主题类型,"Please specify topic type"
"已将该类 %{count} 条通知标记为已读","Marked %{count} notifications of this type as read"
渠道配置,"Channel configuration"
编辑渠道,"Edit Channel"
新建渠道,"New Channel"
渠道标识和名称不能为空,"Channel identifier and name cannot be empty"
渠道不存在,"Channel does not exist"
渠道标识已存在,"Channel identifier already exists"
请选择渠道类型,"Please select a channel type"
渠道适配器不存在,"Channel adapter does not exist"
测试成功，渠道配置正确,"Test Passed, Channel Configuration Correct"
测试失败，请检查配置,"Test failed, please check configuration"
测试失败：%{1},"Test Failed: %{1}"
消息订阅,"Message subscription"
主题和渠道不能为空,"Topic and channel cannot be empty"
已启用,Enabled
已禁用,Disabled
后台通知,"Backend Notification"
短信,SMS
我的联系人,"My Contacts"
渠道和联系方式不能为空,"Channel and contact information cannot be empty"
保存失败，请稍后重试或联系管理员,"Save failed. Please try again later or contact the administrator"
更新失败,"Update failed"
已设为默认,"Set as default"
设置失败,"Setting failed"
加载备份管理失败：%{1},"Failed to load backup management: %{1}"
备份创建成功,"Backup created successfully"
备份创建失败：%{1},"Backup creation failed: %{1}"
加载维护模式失败：%{1},"Failed to load maintenance mode: %{1}"
维护模式状态已更新,"Maintenance mode status updated"
更新失败：%{1},"Update failed: %{1}"
IP白名单格式错误：%{1},"IP whitelist format error: %{1}"
配置保存成功,"Configuration saved successfully"
保存配置失败：%{1},"Save Configuration Failed: %{1}"
系统维护中，请稍后再试,"System is under maintenance. Please try again later."
自动备份失败：%{1}，维护模式已开启,"Auto Backup Failed: %{1}, Maintenance Mode Enabled"
加载系统监控失败：%{1},"Failed to load system monitoring: %{1}"
加载基础设置失败：%{1},"Failed to load basic settings: %{1}"
加载邮件设置失败：%{1},"Failed to load email settings: %{1}"
加载存储设置失败：%{1},"Failed to load storage settings: %{1}"
加载数据统计失败：%{1},"Failed to load data statistics: %{1}"
